doi,type of publication,repository link,link to publication,title,authors,title of the journal etc,number etc,relevant pages,ISBN,publisher,place of publication,year of publication,open access,peer reviewed
10.1038/s41467-018-06871-1,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6200777/,http://dx.doi.org/10.1038/s41467-018-06871-1,Sleep-like cortical OFF-periods disrupt causality and complexity in the brain of unresponsive wakefulness syndrome patients,"M. Rosanova, M. Fecchio, S. Casarotto, S. Sarasso, A. G. Casali, A. Pigorini, A. Comanducci, F. Seregni, G. Devalle, G. Citerio, O. Bodart, M. Boly, O. Gosseries, S. Laureys, M. Massimini","Nature Communications, Vol. 9, No. 1",,,,"Springer Nature America, Inc",,2018,Gold,True
10.1371/journal.pcbi.1006359,Article in Journal,None,http://dx.doi.org/10.1371/journal.pcbi.1006359,A multi-scale layer-resolved spiking network model of resting-state dynamics in macaque visual cortical areas,"Maximilian Schmidt, Rembrandt Bakker, Kelly Shen, Gleb Bezgin, Markus Diesmann, Sacha Jennifer van Albada","PLOS Computational Biology, Vol. 14, No. 10",,,,Public Library of Science (PLoS),,2018,Gold,True
10.1103/PhysRevE.98.042410,Article in Journal,https://arxiv.org/abs/1801.01823,http://dx.doi.org/10.1103/physreve.98.042410,Separating intrinsic interactions from extrinsic correlations in a network of sensory neurons,"Ulisse Ferrari, Stéphane Deny, Matthew Chalk, Gašper Tkačik, Olivier Marre, Thierry Mora","Physical Review E, Vol. 98, No. 4",,,,American Physical Society (APS),,2018,Green,True
10.3390/molecules23102616,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222423/,http://dx.doi.org/10.3390/molecules23102616,Role of Extracellular Loops and Membrane Lipids for Ligand Recognition in the Neuronal Adenosine Receptor Type 2A: An Enhanced Sampling Simulation Study,"Ruyin Cao, Alejandro Giorgetti, Andreas Bauer, Bernd Neumaier, Giulia Rossetti, Paolo Carloni","Molecules, Vol. 23, No. 10",,,,MDPI AG,,2018,Gold,True
10.3389/fnsys.2018.00049,Article in Journal,https://doi.org/10.3389/fnsys.2018.00049,http://dx.doi.org/10.3389/fnsys.2018.00049,Sensory Processing Across Conscious and Nonconscious Brain States: From Single Neurons to Distributed Networks for Inferential Representation,"Umberto Olcese, Matthijs N. Oude Lohuis, Cyriel M. A. Pennartz","Frontiers in Systems Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
None,Publication In Conference Or Workshop,http://ceur-ws.org/Vol-2164/paper3.pdf,http://ceur-ws.org/Vol-2164/paper3.pdf,Integrating clinical data from hospital databases,"Kostis Karozos, Iosif Spartalis, Artem Tsikiridis, Despoina Trivela, Vasilis Vassalos","Proceedings of the First International Workshop on Semantic Web Technologies for Health Data Management, SWH@ISWC 2018",,,,None,,2018,Green,False
10.1038/s41583-018-0071-7,Article in Journal,https://orbi.uliege.be/handle/2268/229950,http://dx.doi.org/10.1038/s41583-018-0071-7,Imaging-based parcellations of the human brain,"Simon B. Eickhoff, B. T. Thomas Yeo, Sarah Genon","Nature Reviews Neuroscience, Vol. 19, No. 11",,,,"Springer Nature America, Inc",,2018,Green,True
10.3389/fninf.2018.00050,Article in Journal,None,http://dx.doi.org/10.3389/fninf.2018.00050,Automatically Selecting a Suitable Integration Scheme for Systems of Differential Equations in Neuron Models,"Inga Blundell, Dimitri Plotnikov, Jochen M. Eppler, Abigail Morrison","Frontiers in Neuroinformatics, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1007/978-3-030-01771-2_19,Chapter in Book,None,http://dx.doi.org/10.1007/978-3-030-01771-2_19,Extending Redescription Mining to Multiple Views,"Matej Mihelčić, Sašo Džeroski, Tomislav Šmuc",Discovery Science,,,,Springer International Publishing,,2018,Green,False
10.1038/s41467-018-06628-w.,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6173769/pdf/41467_2018_Article_6628.pdf,https://www.nature.com/articles/s41467-018-06628-w#Ack1,Lateral inhibition by Martinotti interneurons is facilitated by cholinergic inputs in human and mouse neocortex.,"Obermayer J, Heistek TS, Kerkhofs A, Goriounova NA, Kroon T, Baayen JC, Idema S, Testa-Silva G, Couey JJ, Mansvelder HD.","Nature Communications, volume 9, Article number: 4101",,,,None,,2018,Gold,True
